Date,Set,Order,LayingDate,Age,TofDay,Complete,SUhour,SUmin,SUsec,SUtimehr,SUagehr,Clutch,Tray,ESU,Stimulus,MinTo30y30,TestEggs,PBKhour,PBKmin,PBKsec,PBKtimehr,PBKtimemin,PBKage,FirstHhour,FirstHmin,FirstHsec,FirstHtimehr,FirstHtimemin,FirstHatch(s),FirstHatch(cycles),FirstHatch(s)600,EPPBK,EP3m,PropH,DorsalIMG1,DorsalIMG2,DorsalIMG3,TadLength1,TadLength2,TadLength3
20160803,27,80,20160728,6,6dAM,Y,9,36,29,9.608055556,153.6080556,C527,1,13,s,3.529411765,7,9,42,43,9.711944444,582.7166667,153.7119444,9,43,2,9.717222222,583.0333333,0.316666667,1.117647059,0.316666667,1,1,0.857142857,6392,6393,6394,1.255,1.23,1.223
20160803,28,81,20160728,6,6dAM,Y,9,59,0,9.983333333,153.9833333,C526,2,11,s,3.529411765,3,10,5,18,10.08833333,605.3,154.0883333,10,7,17,10.12138889,607.2833333,1.983333333,7,1.983333333,1,1,0.666666667,6395,6396,6398,1.31,1.318,1.288
20160803,28,82,20160728,6,6dAM,Y,10,16,30,10.275,154.275,C528,1,9,c,30,5,10,22,12,10.37,622.2,154.37,10,22,23,10.37305556,622.3833333,0.183333333,5.5,0.183333333,2,2,0.6,6399,6402,6404,1.208,1.256,1.236
20160803,28,83,20160728,6,6dAM,Y,10,50,0,10.83333333,154.8333333,C533,2,10,f,100,7,10,55,48,10.93,655.8,154.93,10,56,13,10.93694444,656.2166667,0.416666667,41.66666667,0.416666667,2,2,0.714285714,6405,6408,6409,1.197,1.212,1.144
20160803,29,84,20160728,6,6dAM,Y,11,6,30,11.10833333,155.1083333,C534,1,8,f,100,2,11,11,55,11.19861111,671.9166667,155.1986111,NA,NA,NA,NA,NA,NA,NA,600,2,0,1,6412,6413,6414,1.281,1.217,1.285
20160803,29,85,20160728,6,6dAM,Y,11,21,38,11.36055556,155.3605556,C531,1,5,c,30,4,11,27,9,11.4525,687.15,155.4525,11,27,27,11.4575,687.45,0.3,9,0.3,0,0,0.75,6417,6418,6420,1.212,1.222,1.242
20160803,29,86,20160728,6,6dAM,Y,11,29,39,11.49416667,155.4941667,C535,3,7,s,3.529411765,5,11,35,8,11.58555556,695.1333333,155.5855556,11,35,29,11.59138889,695.4833333,0.35,1.235294118,0.35,1,1,1,6421,6422,6423,1.265,1.272,1.239
20160812,30,108,20160806,6,6dAM,N,10,45,5,10.75138889,154.7513889,C584,2,5,c,30,5,10,50,12,10.83666667,650.2,154.8366667,10,50,58,10.84944444,650.9666667,0.766666667,23,0.766666667,3,2,0.6,6721,6722,6725,1.273,1.282,1.205
20160803,30,87,20160728,6,6dAM,N,11,47,30,11.79166667,155.7916667,C528,3,7,s,3.529411765,4,11,54,2,11.90055556,714.0333333,155.9005556,11,54,20,11.90555556,714.3333333,0.3,1.058823529,0.3,0,0,0.5,6425,6426,6428,1.208,1.26,1.241
20160803,30,88,20160728,6,6dAM,N,11,57,45,11.9625,155.9625,C531,2,6,f,100,4,12,3,7,12.05194444,723.1166667,156.0519444,12,5,57,12.09916667,725.95,2.833333333,283.3333333,2.833333333,2,2,0.25,6431,6434,6437,1.175,1.062,1.171
